Id,,len,datetime,open,high,low,close,volume,openinterest,myStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
54,,54,2015-03-23 00:00:00,19607.98046875,19778.599609375,19584.73046875,19754.359375,124400.0,,myStrategy,54,735680.0,Broker,54,468109.4566587726,997288.2302227502,BuySell,54,,,Trades - Net Profit/Loss,54,,
55,,55,2015-03-24 00:00:00,19718.990234375,19770.640625,19646.349609375,19713.44921875,141900.0,,myStrategy,55,735681.0,Broker,55,468109.4566587726,996192.3310391966,BuySell,55,,,Trades - Net Profit/Loss,55,,
56,,56,2015-03-25 00:00:00,19745.75,19775.44921875,19542.220703125,19746.19921875,145000.0,,myStrategy,56,735682.0,Broker,56,468109.4566587726,997069.6363724263,BuySell,56,,,Trades - Net Profit/Loss,56,,
57,,57,2015-03-26 00:00:00,19605.599609375,19623.109375,19397.009765625,19471.119140625,154800.0,,myStrategy,57,735683.0,Broker,57,468109.4566587726,989700.8052394717,BuySell,57,,,Trades - Net Profit/Loss,57,,
58,,58,2015-03-27 00:00:00,19374.720703125,19590.029296875,19099.869140625,19285.630859375,178300.0,,myStrategy,58,735684.0,Broker,58,468109.4566587726,984731.9546015419,BuySell,58,,,Trades - Net Profit/Loss,58,,
59,,59,2015-03-30 00:00:00,19295.2109375,19474.0703125,19227.2890625,19411.400390625,136300.0,,myStrategy,59,735687.0,Broker,59,1500837.8300463683,980846.2243013578,BuySell,59,,19766.1813671875,Trades - Net Profit/Loss,59,543.9150231841329,
60,,60,2015-03-31 00:00:00,19592.4296875,19607.25,19206.990234375,19206.990234375,151600.0,,myStrategy,60,735688.0,Broker,60,1500837.8300463683,986321.9531637824,BuySell,60,,,Trades - Net Profit/Loss,60,,
61,,61,2015-04-01 00:00:00,19129.75,19195.23046875,18927.94921875,19034.83984375,160400.0,,myStrategy,61,735689.0,Broker,61,1500837.8300463683,990933.5090664651,BuySell,61,,,Trades - Net Profit/Loss,61,,
62,,62,2015-04-02 00:00:00,19141.9296875,19433.890625,19115.140625,19312.7890625,147100.0,,myStrategy,62,735690.0,Broker,62,1500837.8300463683,983487.8195404694,BuySell,62,,,Trades - Net Profit/Loss,62,,
63,,63,2015-04-03 00:00:00,19289.0390625,19435.080078125,19289.0390625,19435.080078125,104700.0,,myStrategy,63,735691.0,Broker,63,1500837.8300463683,980211.8940377559,BuySell,63,,,Trades - Net Profit/Loss,63,,
64,,64,2015-04-06 00:00:00,19295.029296875,19424.08984375,19241.2890625,19397.98046875,96600.0,,myStrategy,64,735694.0,Broker,64,1500837.8300463683,981205.716485555,BuySell,64,,,Trades - Net Profit/Loss,64,,
65,,65,2015-04-07 00:00:00,19539.029296875,19667.48046875,19501.310546875,19640.5390625,137000.0,,myStrategy,65,735695.0,Broker,65,1500837.8300463683,974708.0692208976,BuySell,65,,,Trades - Net Profit/Loss,65,,
66,,66,2015-04-08 00:00:00,19729.69921875,19845.529296875,19693.630859375,19789.810546875,140700.0,,myStrategy,66,735696.0,Broker,66,1500837.8300463683,970709.3922944465,BuySell,66,,,Trades - Net Profit/Loss,66,,
67,,67,2015-04-09 00:00:00,19851.119140625,19957.3203125,19822.490234375,19937.720703125,120000.0,,myStrategy,67,735697.0,Broker,67,1500837.8300463683,966747.1825565246,BuySell,67,,,Trades - Net Profit/Loss,67,,
68,,68,2015-04-10 00:00:00,19989.55078125,20006.0,19845.310546875,19907.630859375,136200.0,,myStrategy,68,735698.0,Broker,68,1500837.8300463683,967553.2277595146,BuySell,68,,,Trades - Net Profit/Loss,68,,
69,,69,2015-04-13 00:00:00,19967.380859375,19975.66015625,19825.689453125,19905.4609375,107000.0,,myStrategy,69,735701.0,Broker,69,433735.34087037394,966961.8154004756,BuySell,69,19528.304111328125,,Trades - Net Profit/Loss,69,,-17187.057894199323
70,,70,2015-04-14 00:00:00,19828.650390625,19922.5,19828.650390625,19908.6796875,111600.0,,myStrategy,70,735702.0,Broker,70,433735.34087037394,967048.0391116615,BuySell,70,,,Trades - Net Profit/Loss,70,,
71,,71,2015-04-15 00:00:00,19838.529296875,19913.419921875,19823.859375,19869.759765625,121600.0,,myStrategy,71,735703.0,Broker,71,433735.34087037394,966005.454225255,BuySell,71,,,Trades - Net Profit/Loss,71,,
72,,72,2015-04-16 00:00:00,19862.48046875,19894.349609375,19742.119140625,19885.76953125,174300.0,,myStrategy,72,735704.0,Broker,72,433735.34087037394,966434.3230120202,BuySell,72,,,Trades - Net Profit/Loss,72,,
73,,73,2015-04-17 00:00:00,19810.400390625,19815.25,19638.369140625,19652.880859375,188200.0,,myStrategy,73,735705.0,Broker,73,1498600.6061715249,972140.2339194871,BuySell,73,,20112.47875,Trades - Net Profit/Loss,73,,-1118.6119374215793
74,,74,2015-04-20 00:00:00,19501.0,19725.859375,19474.23046875,19634.490234375,144100.0,,myStrategy,74,735708.0,Broker,74,1498600.6061715249,972632.8810460191,BuySell,74,,,Trades - Net Profit/Loss,74,,
75,,75,2015-04-21 00:00:00,19731.5703125,19909.08984375,19678.220703125,19909.08984375,161600.0,,myStrategy,75,735709.0,Broker,75,1498600.6061715249,965276.9206854868,BuySell,75,,,Trades - Net Profit/Loss,75,,
76,,76,2015-04-22 00:00:00,19999.83984375,20144.66015625,19983.0,20133.900390625,204400.0,,myStrategy,76,735710.0,Broker,76,1498600.6061715249,959254.7071972521,BuySell,76,,,Trades - Net Profit/Loss,76,,
77,,77,2015-04-23 00:00:00,20227.279296875,20252.119140625,20116.189453125,20187.650390625,200900.0,,myStrategy,77,735711.0,Broker,77,1498600.6061715249,957814.8549327914,BuySell,77,,,Trades - Net Profit/Loss,77,,
78,,78,2015-04-24 00:00:00,20142.470703125,20142.470703125,20013.740234375,20020.0390625,139700.0,,myStrategy,78,735712.0,Broker,78,416488.3179428193,952784.1054541101,BuySell,78,19713.534130859374,,Trades - Net Profit/Loss,78,,-8623.511463777251
